Category,Quantity,References,Value,Stock Code,Unit Cost,total cost,PCB Package,Description,Name
Capacitors,30,"C1,C6,C10",10uF,399-C0603C106M7PAC7411CT-ND,"0,25","7,5",0603_CAP,CAP CER 10UF 4V X5R 0603,C0603C106M7PAC7411
Capacitors,40,"C2-C3,C7,C11",0.1uF,399-1096-1-ND,"0,11","4,4",0603_CAP,CAP CER 0.1UF 16V X7R 0603,C0603C104K4RACTU
Capacitors,30,"C4-C5,C9",1nF,399-C0603C102J5RAC7411CT-ND,"0,1",3,0603_CAP,CAP CER 1000PF 50V X7R 0603,C0603C102J5RAC7411
Capacitors,10,C8,10uF,399-3684-1-ND,"0,37","3,7",1206 CAP POLARIZE,CAP TANT 10UF 10% 10V 1206,T491A106K010AT
Resistors,50,"R1,R3,R11,R13,R15",10k,311-10.0KHRCT-ND,"0,1",5,0603_RES,RES SMD 10K OHM 1% 1/10W 0603,RC0603FR-0710KL
Resistors,50,"R2,R5,R7,R9,R12",100R,311-100HRCT-ND,"0,1",5,0603_RES,RES SMD 100 OHM 1% 1/10W 0603,RC0603FR-07100RL
Resistors,40,"R4,R6,R8,R10",255R,311-255HRCT-ND,"0,1",4,0603_RES,RES SMD 255 OHM 1% 1/10W 0603,RC0603FR-07255RL
Resistors,10,R14,10R,311-10.0HRCT-ND,"0,1",1,0603_RES,RES SMD 10 OHM 1% 1/10W 0603,RC0603FR-0710RL
Resistors,10,R16,1k,311-1.00KHRCT-ND,"0,1",1,0603_RES,RES SMD 1K OHM 1% 1/10W 0603,RC0603FR-071KL
Resistors,10,R17,0R,311-0.0HRCT-ND,"0,1",1,0603_RES,RES 0 OHM JUMPER 1/10W 0603,RC0603FR-070RL
Integrated Circuits,10,U1,ESP32-WROOM-32D,1965-ESP32-WROOM-32D(4MB)CT-ND,"3,8",38,ESP32-WROOM-32D-UPDATED,RX TXRX MOD WIFI TRACE ANT SMD,ESP32-WROOM-32D
Integrated Circuits,10,U2,MCP4921-E/MS,MCP4921-E/MS-ND,"2,19","21,9",SOP65P490X110-8N,IC DAC 12BIT V-OUT 8MSOP,MCP4921-E/MS
Transistors,10,Q1,DMG3414U,DMG3414U-7DICT-ND,"0,56","5,6",SOT23,"20V, 4.2A @ 25°C, 1.3W, Single N-Channel HEXFET Power MOSFET in a Micro 3 package",IRLML2502TR
Miscellaneous,10,BZ1,SMTB-0940-T-3V-R,668-SMTB-0940-T-3V-RCT-ND,"1,26","12,6",SMTB-0940-T-3V-R,BUZZER PIEZO 3V 9X9MM SMD,SMTB-0940-T-3V-R
Miscellaneous,10,J2,M20-7920242R,952-3202-1-ND,"0,99","9,9",M207920242R,CONN RCPT 4POS 0.1 GOLD SMD R/A,M20-7920242R
Miscellaneous,10,J3,687112149022,687112149022,"1,07","10,7",687112149022,CONN .5MM HORZ BOTTOM SMD 12POS,687112149022
Miscellaneous,10,J4,690367280476,732-1964-1-ND,"0,59","5,9",690367280476,CONN RCPT 4POS 0.1 TIN SMD,690367280476
Miscellaneous,40,LD1-LD4,155124M173200,732-11414-1-ND,"0,5",20,155124M173200,LED RGB CLEAR 1204 SMD R/A,155124M173200
Miscellaneous,10,S1,450404015514,732-13665-1-ND,"0,75","7,5",450404015514,MINI SLIDE SWITCH 6.7 X 2.7 MM.,450404015514
Miscellaneous,10,S3,434153017835,732-10143-1-ND,"0,56","5,6",434153017835,SWITCH TACTILE SPST-NO 0.05A 12V,434153017835
,,,,,,,,,
,,,,,,,,,
,,,,,full total cost,"173,3",,,
